timestamp,value
2000-01-01 00:00:00,1574.94
2000-01-01 01:00:00,1587.37
2000-01-01 02:00:00,1580.34
2000-01-01 03:00:00,1592.14
2000-01-01 04:00:00,1581.4
2000-01-01 05:00:00,1581.22
2000-01-01 06:00:00,1588.9
2000-01-01 07:00:00,1586.75
2000-01-01 08:00:00,1580.76
2000-01-01 09:00:00,1584.02
2000-01-01 10:00:00,1587.49
2000-01-01 11:00:00,1588.38
2000-01-01 12:00:00,1580.63
2000-01-01 13:00:00,1585.22
2000-01-01 14:00:00,1585.83
2000-01-01 15:00:00,1587.84
2000-01-01 16:00:00,1585.88
2000-01-01 17:00:00,1584.08
2000-01-01 18:00:00,1584.44
2000-01-01 19:00:00,1589.01
2000-01-01 20:00:00,1581.61
2000-01-01 21:00:00,1588.27
2000-01-01 22:00:00,1586.2
2000-01-01 23:00:00,1589.65
2000-01-02 00:00:00,1583.9
2000-01-02 01:00:00,1586.31
2000-01-02 02:00:00,1577.04
2000-01-02 03:00:00,1580.31
2000-01-02 04:00:00,1588.65
2000-01-02 05:00:00,1587.58
2000-01-02 06:00:00,1586.39
2000-01-02 07:00:00,1581.94
2000-01-02 08:00:00,1584.43
2000-01-02 09:00:00,1593.98
2000-01-02 10:00:00,1577.95
2000-01-02 11:00:00,1582.94
2000-01-02 12:00:00,1580.47
2000-01-02 13:00:00,1575.85
2000-01-02 14:00:00,1585.4
2000-01-02 15:00:00,1590.01
2000-01-02 16:00:00,1574.28
2000-01-02 17:00:00,1587.66
2000-01-02 18:00:00,1577.81
2000-01-02 19:00:00,1583.93
2000-01-02 20:00:00,1581.24
2000-01-02 21:00:00,1583.89
2000-01-02 22:00:00,1578.39
2000-01-02 23:00:00,1587.73
2000-01-03 00:00:00,1591.57
2000-01-03 01:00:00,1583.12
2000-01-03 02:00:00,1578.49
2000-01-03 03:00:00,1583.84
2000-01-03 04:00:00,1579.97
2000-01-03 05:00:00,1583.81
2000-01-03 06:00:00,1581.74
2000-01-03 07:00:00,1590.3
2000-01-03 08:00:00,1582.44
2000-01-03 09:00:00,1577.6
2000-01-03 10:00:00,1587.16
2000-01-03 11:00:00,1584.09
2000-01-03 12:00:00,1584.46
2000-01-03 13:00:00,1584.26
2000-01-03 14:00:00,1588.2
2000-01-03 15:00:00,1590.51
2000-01-03 16:00:00,1584.28
2000-01-03 17:00:00,1583.47
2000-01-03 18:00:00,1588.16
2000-01-03 19:00:00,1579.21
2000-01-03 20:00:00,1587.28
2000-01-03 21:00:00,1590.56
2000-01-03 22:00:00,1589.14
2000-01-03 23:00:00,1585.67
2000-01-04 00:00:00,1584.92
2000-01-04 01:00:00,1583.57
2000-01-04 02:00:00,1581.87
2000-01-04 03:00:00,1587.34
2000-01-04 04:00:00,1583.53
2000-01-04 05:00:00,1582.31
2000-01-04 06:00:00,1586.93
2000-01-04 07:00:00,1585.58
2000-01-04 08:00:00,1581.02
2000-01-04 09:00:00,1584.32
2000-01-04 10:00:00,1578.52
2000-01-04 11:00:00,1586.81
2000-01-04 12:00:00,1577.76
2000-01-04 13:00:00,1585.98
2000-01-04 14:00:00,1587.56
2000-01-04 15:00:00,1581.16
2000-01-04 16:00:00,1586.59
2000-01-04 17:00:00,1589.98
2000-01-04 18:00:00,1585.15
2000-01-04 19:00:00,1589.4
2000-01-04 20:00:00,1584.88
2000-01-04 21:00:00,1590.26
2000-01-04 22:00:00,1588.05
2000-01-04 23:00:00,1584.85
2000-01-05 00:00:00,1580.38
2000-01-05 01:00:00,1585.45
2000-01-05 02:00:00,1580.79
2000-01-05 03:00:00,1583.68
2000-01-05 04:00:00,1588.29
2000-01-05 05:00:00,1591.2
2000-01-05 06:00:00,1585.5
2000-01-05 07:00:00,1583.8
2000-01-05 08:00:00,1591.62
2000-01-05 09:00:00,1588.52
2000-01-05 10:00:00,1585.98
2000-01-05 11:00:00,1586.79
2000-01-05 12:00:00,1588.89
2000-01-05 13:00:00,1585.4
2000-01-05 14:00:00,1587.46
2000-01-05 15:00:00,1583.17
2000-01-05 16:00:00,1586.01
2000-01-05 17:00:00,1582.04
2000-01-05 18:00:00,1584.61
2000-01-05 19:00:00,1594.27
2000-01-05 20:00:00,1582.57
2000-01-05 21:00:00,1583.5
2000-01-05 22:00:00,1585.66
2000-01-05 23:00:00,1586.19
2000-01-06 00:00:00,1588.59
2000-01-06 01:00:00,1587.58
2000-01-06 02:00:00,1584.21
2000-01-06 03:00:00,1587.98
2000-01-06 04:00:00,1589.79
2000-01-06 05:00:00,1589.15
2000-01-06 06:00:00,1586.2
2000-01-06 07:00:00,1589.33
2000-01-06 08:00:00,1586.99
2000-01-06 09:00:00,1586.94
2000-01-06 10:00:00,1588.34
2000-01-06 11:00:00,1588.32
2000-01-06 12:00:00,1589.73
2000-01-06 13:00:00,1588.42
2000-01-06 14:00:00,1580.86
2000-01-06 15:00:00,1581.25
2000-01-06 16:00:00,1586.01
2000-01-06 17:00:00,1586.79
2000-01-06 18:00:00,1584.01
2000-01-06 19:00:00,1586.65
2000-01-06 20:00:00,1591.1
